UAV height,image name,Calculate,Real,Error (%),Distance,
1.84,human_frame_15,2.96,3.05,2.950819672,7.12,
2.05,human_frame_5,3.54,3.7,4.324324324,7.8,
2.05,human_frame_6,3.54,3.7,4.324324324,7.8,
1.84,human_frame_14,3.57,3.64,1.923076923,7.12,
2.155,human_frame_9,4.14,4.2,1.428571429,8.5,10.46
2.05,human_frame_7,4.54,4.62,1.731601732,7.8,
1.84,human_frame_11,4.61,4.7,1.914893617,7.12,
1.84,human_frame_13,4.92,4.94,0.4048583,7.12,
2.05,human_frame_4,5.84,5.98,2.341137124,7.8,
1.84,human_frame_12,6.28,6.24,0.641025641,7.12,
4.47,human_frame_1,6.83,7.3,0.833333333,17.65, 
2.155,human_frame_10,7.7,7.68,0.260416667,8.5,10.46
4.47,human_frame_2,8.1,8,0.833333333,17.65, 
0.765,,,,,2.5,
0.81,,,,,2.92,
0.905,,,,,3,
1,,,,,3.1,
1.22,,,,,4.2,
2.05,human_frame_3,,4.9,,7.8,
